record|blue|2021|2021-07-09
they|green|2021|2021-03-31
real|blue|2021|2021-02-12
set|yellow|2021|2021-08-28
agree|white|2021|2021-09-04
risk|white|2021|2021-08-07
Congress|white|2021|2021-04-16
then|red|2021|2021-03-07
get|black|2021|2021-01-22
dream|red|2021|2021-07-05
management|green|2021|2021-01-26
card|black|2021|2021-05-06
apply|red|2021|2021-07-08
business|red|2021|2021-03-12
clear|green|2021|2021-01-25
describe|red|2021|2021-04-10
son|blue|2021|2021-08-19
personal|white|2021|2021-01-31
just|red|2021|2021-09-21
agreement|white|2021|2021-08-06
against|white|2021|2021-06-06
training|yellow|2021|2021-05-03
law|red|2021|2021-07-31
visit|white|2021|2021-10-11
mean|white|2021|2021-03-04
design|green|2021|2021-07-27
spend|black|2021|2021-03-20
really|black|2021|2021-04-18
dream|yellow|2021|2021-08-01
history|red|2021|2021-03-16
work|yellow|2021|2021-04-22
add|black|2021|2021-09-17
force|white|2021|2021-01-04
rich|white|2021|2021-07-12
accept|green|2021|2021-01-27
table|white|2021|2021-08-09
second|yellow|2021|2021-05-10
think|green|2021|2021-06-02
director|green|2021|2021-05-19
which|white|2021|2021-04-24
fall|red|2021|2021-05-16
hit|blue|2021|2021-10-13
floor|green|2021|2021-02-21
although|yellow|2021|2021-06-29
quality|blue|2021|2021-07-18
according|red|2021|2021-02-13
everybody|black|2021|2021-01-09
until|black|2021|2021-07-18
wide|green|2021|2021-02-27
character|yellow|2021|2021-05-21
though|green|2021|2021-02-19
marriage|red|2021|2021-01-05
cause|green|2021|2021-08-10
concern|green|2021|2021-06-06
in|white|2021|2021-08-31
behind|red|2021|2021-09-28
father|blue|2021|2021-06-04
agreement|white|2021|2021-01-13
billion|black|2021|2021-06-17
difference|black|2021|2021-09-01
major|yellow|2021|2021-09-04
entire|red|2021|2021-09-27
never|black|2021|2021-02-04
suddenly|red|2021|2021-01-18
throw|black|2021|2021-08-21
full|green|2021|2021-04-27
Mrs|black|2021|2021-02-28
growth|yellow|2021|2021-07-09
weight|red|2021|2021-09-14
might|white|2021|2021-08-19
main|blue|2021|2021-06-04
