13|couple|2888.62|2021-04-22
998|billion|2437.11|2021-02-05
755|go|4800.75|2021-09-13
737|customer|9737.07|2021-10-06
759|across|9533.51|2021-04-07
270|according|1604.61|2021-03-20
966|available|1282.1|2021-04-29
978|enjoy|1623.88|2021-02-13
309|trip|8650.75|2021-04-29
829|clear|8175.7|2021-08-25
74|century|2872.95|2021-04-16
188|keep|8132.96|2021-04-20
504|there|6386.54|2021-03-27
546|feel|4064.4|2021-07-19
525|magazine|9192.43|2021-04-20
89|wide|9369.89|2021-03-23
134|a|8086.05|2021-09-16
496|single|2658.79|2021-01-30
817|teacher|1714.64|2021-09-28
423|pattern|9415.91|2021-01-12
645|late|2171.75|2021-05-30
31|allow|2805.45|2021-01-13
746|door|7902.67|2021-07-05
114|throw|1653.59|2021-06-04
684|within|3945.23|2021-09-12
58|character|9988.6|2021-04-15
627|thank|2021.17|2021-04-12
386|sell|1235.76|2021-09-02
232|wind|1344.4|2021-01-24
10|campaign|2180.46|2021-04-19
193|me|7397.33|2021-02-14
586|culture|3501.58|2021-09-27
510|who|6676.6|2021-04-17
744|it|1713.26|2021-03-11
312|out|9608.79|2021-07-23
885|almost|6579.97|2021-08-26
972|thank|2498.5|2021-09-30
831|minute|9948.33|2021-06-03
975|environmental|3102.74|2021-03-16
511|push|6901.74|2021-02-14
109|race|7041.78|2021-07-20
643|assume|8354.05|2021-04-26
480|about|7947.05|2021-06-27
451|water|4262.07|2021-05-22
94|decision|3144.22|2021-01-15
908|scientist|8662.81|2021-07-14
310|tend|7433.17|2021-05-29
771|bag|4453.95|2021-02-26
737|left|3814.2|2021-01-31
870|environmental|5924.68|2021-09-25
150|we|6379.95|2021-09-08
373|fact|8874.43|2021-09-11
98|thousand|9481.41|2021-09-05
526|price|2465.89|2021-03-21
881|laugh|2966.68|2021-04-12
578|food|2814.09|2021-04-27
106|where|4568.19|2021-03-06
914|charge|9982.21|2021-09-02
583|land|5256.5|2021-04-30
355|television|7600.17|2021-04-24
981|because|2558.1|2021-01-18
303|focus|3869.41|2021-04-08
312|nice|7178.76|2021-05-31
917|current|9306.29|2021-07-15
98|thousand|9864.44|2021-01-25
109|record|2434.54|2021-03-07
760|miss|1662.09|2021-07-08
759|group|9650.14|2021-08-28
945|with|7607.07|2021-05-10
781|science|8740.33|2021-06-08
465|management|6713.77|2021-02-12
404|explain|5244.95|2021-08-29
499|kid|5521.12|2021-02-10
72|range|4894.4|2021-09-08
317|window|9052.99|2021-07-26
232|rather|6865.14|2021-09-12
288|himself|6301.21|2021-02-09
72|plant|7223.69|2021-05-13
479|base|3569.37|2021-07-30
552|yeah|7852.27|2021-01-24
256|site|4007.63|2021-03-11
545|at|6254.26|2021-06-28
707|suddenly|2992.09|2021-03-10
137|magazine|2023.81|2021-08-08
388|available|1431.74|2021-07-13
211|daughter|7661.41|2021-07-08
291|beat|7734.03|2021-10-11
595|civil|3399.69|2021-05-30
198|line|8222.74|2021-01-07
395|reason|8541.98|2021-07-04
535|political|8453.48|2021-05-10
518|all|9209.03|2021-01-30
462|appear|1414.73|2021-08-22
377|sound|4861.26|2021-05-24
835|read|3853.95|2021-02-26
993|today|2420.26|2021-09-24
957|market|6996.49|2021-07-05
329|either|2230.6|2021-06-22
36|see|4653.12|2021-09-27
